id,uploader,modifier,regulator_id,regulator_locus_tag,regulator_symbol,source_name,assay,strain_verified,preferred_replicate,qc_notes,upload_date,modified_date,batch,strain,replicate,control,mechanism,restriction,time,file,notes,regulator,source
3410,chasem,chasem,7142,YER109C,FLO8,mcisaac_oe,overexpression,unverified,True,none,2024-07-01,2024-07-01T13:48:44.892291-05:00,undefined,SMY125,1,undefined,gev,P,15.0,https://yeastregulatorydb-htcf-data.s3.amazonaws.com/media/expression/mcisaac_oe/3410.csv.gz,strain_id:SMY125 ; date:20151006,268,7
3402,chasem,chasem,7079,YPR199C,ARR1,mcisaac_oe,overexpression,unverified,True,none,2024-07-01,2024-07-01T13:48:36.074021-05:00,undefined,yRSM86,1,undefined,gev,P,15.0,https://yeastregulatorydb-htcf-data.s3.amazonaws.com/media/expression/mcisaac_oe/3402.csv.gz,strain_id:yRSM86 ; date:20151026,267,7
3386,chasem,chasem,6960,YPR104C,FHL1,mcisaac_oe,overexpression,unverified,True,none,2024-07-01,2024-07-01T13:48:13.038328-05:00,undefined,SMY2188,1,undefined,zev,P,15.0,https://yeastregulatorydb-htcf-data.s3.amazonaws.com/media/expression/mcisaac_oe/3386.csv.gz,strain_id:SMY2188 ; date:20160524,1509,7
3378,chasem,chasem,6917,YPR065W,ROX1,mcisaac_oe,overexpression,unverified,True,none,2024-07-01,2024-07-01T13:48:04.899343-05:00,undefined,SMY2107,1,undefined,zev,P,15.0,https://yeastregulatorydb-htcf-data.s3.amazonaws.com/media/expression/mcisaac_oe/3378.csv.gz,strain_id:SMY2107 ; date:20160209,264,7
3370,chasem,chasem,6856,YPR009W,SUT2,mcisaac_oe,overexpression,unverified,True,none,2024-07-01,2024-07-01T13:47:56.633035-05:00,undefined,SMY2168,1,undefined,zev,P,15.0,https://yeastregulatorydb-htcf-data.s3.amazonaws.com/media/expression/mcisaac_oe/3370.csv.gz,strain_id:SMY2168 ; date:20160606,260,7
3363,chasem,chasem,6855,YPR008W,HAA1,mcisaac_oe,overexpression,unverified,True,none,2024-07-01,2024-07-01T13:47:48.643549-05:00,undefined,SMY2153,1,undefined,zev,P,15.0,https://yeastregulatorydb-htcf-data.s3.amazonaws.com/media/expression/mcisaac_oe/3363.csv.gz,strain_id:SMY2153 ; date:20160504,259,7
3355,chasem,chasem,6829,YPL016W,SWI1,mcisaac_oe,overexpression,unverified,True,none,2024-07-01,2024-07-01T13:47:40.711045-05:00,undefined,SMY2266c,1,undefined,zev,P,15.0,https://yeastregulatorydb-htcf-data.s3.amazonaws.com/media/expression/mcisaac_oe/3355.csv.gz,strain_id:SMY2266c ; date:20161117,1508,7
3331,chasem,chasem,6807,YPL038W,MET31,mcisaac_oe,overexpression,unverified,True,none,2024-07-01,2024-07-01T13:47:16.132755-05:00,undefined,SMY40,1,undefined,gev,M,15.0,https://yeastregulatorydb-htcf-data.s3.amazonaws.com/media/expression/mcisaac_oe/3331.csv.gz,strain_id:SMY40 ; date:20150101,257,7
3323,chasem,chasem,6796,YPL048W,CAM1,mcisaac_oe,overexpression,unverified,True,none,2024-07-01,2024-07-01T13:47:08.552361-05:00,undefined,SMY2182,1,undefined,zev,P,15.0,https://yeastregulatorydb-htcf-data.s3.amazonaws.com/media/expression/mcisaac_oe/3323.csv.gz,strain_id:SMY2182 ; date:20160628,1507,7
3315,chasem,chasem,6795,YPL049C,DIG1,mcisaac_oe,overexpression,unverified,True,none,2024-07-01,2024-07-01T13:47:01.177581-05:00,undefined,SMY2170,1,undefined,zev,P,15.0,https://yeastregulatorydb-htcf-data.s3.amazonaws.com/media/expression/mcisaac_oe/3315.csv.gz,strain_id:SMY2170 ; date:20160504,255,7
3307,chasem,chasem,6767,YPL075W,GCR1,mcisaac_oe,overexpression,unverified,True,none,2024-07-01,2024-07-01T13:46:53.320406-05:00,undefined,SMY2069,1,undefined,zev,P,15.0,https://yeastregulatorydb-htcf-data.s3.amazonaws.com/media/expression/mcisaac_oe/3307.csv.gz,strain_id:SMY2069 ; date:20161117,254,7
3299,chasem,chasem,6753,YPL089C,RLM1,mcisaac_oe,overexpression,unverified,True,none,2024-07-01,2024-07-01T13:46:45.719680-05:00,undefined,SMY2105,1,undefined,zev,P,15.0,https://yeastregulatorydb-htcf-data.s3.amazonaws.com/media/expression/mcisaac_oe/3299.csv.gz,strain_id:SMY2105 ; date:20151210,253,7
3291,chasem,chasem,6706,YPL133C,RDS2,mcisaac_oe,overexpression,unverified,True,none,2024-07-01,2024-07-01T13:46:38.069657-05:00,undefined,SMY2207,2,undefined,zev,P,15.0,https://yeastregulatorydb-htcf-data.s3.amazonaws.com/media/expression/mcisaac_oe/3291.csv.gz,strain_id:SMY2207 ; date:20160823,251,7
3275,chasem,chasem,6699,YPL139C,UME1,mcisaac_oe,overexpression,unverified,True,none,2024-07-01,2024-07-01T13:46:23.497626-05:00,undefined,SMY2234,1,undefined,zev,P,15.0,https://yeastregulatorydb-htcf-data.s3.amazonaws.com/media/expression/mcisaac_oe/3275.csv.gz,strain_id:SMY2234 ; date:20161006,250,7
3267,chasem,chasem,6659,YPL177C,CUP9,mcisaac_oe,overexpression,unverified,True,none,2024-07-01,2024-07-01T13:46:16.770974-05:00,undefined,SMY2169,1,undefined,zev,P,15.0,https://yeastregulatorydb-htcf-data.s3.amazonaws.com/media/expression/mcisaac_oe/3267.csv.gz,strain_id:SMY2169 ; date:20160606,249,7
3259,chasem,chasem,6654,YPL181W,CTI6,mcisaac_oe,overexpression,unverified,True,none,2024-07-01,2024-07-01T13:46:10.721344-05:00,undefined,SMY2184,1,undefined,zev,P,15.0,https://yeastregulatorydb-htcf-data.s3.amazonaws.com/media/expression/mcisaac_oe/3259.csv.gz,strain_id:SMY2184 ; date:20160628,1408,7
3251,chasem,chasem,6630,YPL202C,AFT2,mcisaac_oe,overexpression,unverified,True,none,2024-07-01,2024-07-01T13:46:03.856269-05:00,undefined,SMY2052,1,undefined,zev,P,15.0,https://yeastregulatorydb-htcf-data.s3.amazonaws.com/media/expression/mcisaac_oe/3251.csv.gz,strain_id:SMY2052 ; date:20160921,248,7
3243,chasem,chasem,6601,YPL230W,USV1,mcisaac_oe,overexpression,unverified,True,none,2024-07-01,2024-07-01T13:45:57.505683-05:00,undefined,yRSM204,1,undefined,gev,P,15.0,https://yeastregulatorydb-htcf-data.s3.amazonaws.com/media/expression/mcisaac_oe/3243.csv.gz,strain_id:yRSM204 ; date:20151026,247,7
3235,chasem,chasem,6583,YPL248C,GAL4,mcisaac_oe,overexpression,unverified,True,none,2024-07-01,2024-07-01T13:45:51.469849-05:00,undefined,SMY2067,1,undefined,zev,P,15.0,https://yeastregulatorydb-htcf-data.s3.amazonaws.com/media/expression/mcisaac_oe/3235.csv.gz,strain_id:SMY2067 ; date:20160321,246,7
3227,chasem,chasem,6574,YPL254W,HFI1,mcisaac_oe,overexpression,unverified,True,none,2024-07-01,2024-07-01T13:45:44.693857-05:00,undefined,SMY2192,1,undefined,zev,P,15.0,https://yeastregulatorydb-htcf-data.s3.amazonaws.com/media/expression/mcisaac_oe/3227.csv.gz,strain_id:SMY2192 ; date:20160823,245,7
3219,chasem,chasem,6521,YOR380W,RDR1,mcisaac_oe,overexpression,unverified,True,none,2024-07-01,2024-07-01T13:45:37.675485-05:00,undefined,SMY2206,1,undefined,zev,P,15.0,https://yeastregulatorydb-htcf-data.s3.amazonaws.com/media/expression/mcisaac_oe/3219.csv.gz,strain_id:SMY2206 ; date:20161006,244,7
3212,chasem,chasem,6503,YOR363C,PIP2,mcisaac_oe,overexpression,unverified,True,none,2024-07-01,2024-07-01T13:45:31.547898-05:00,undefined,SMY2100,1,undefined,zev,P,15.0,https://yeastregulatorydb-htcf-data.s3.amazonaws.com/media/expression/mcisaac_oe/3212.csv.gz,strain_id:SMY2100 ; date:20160921,243,7
3204,chasem,chasem,6498,YOR358W,HAP5,mcisaac_oe,overexpression,unverified,True,none,2024-07-01,2024-07-01T13:45:24.977648-05:00,undefined,SMY2076,1,undefined,zev,P,15.0,https://yeastregulatorydb-htcf-data.s3.amazonaws.com/media/expression/mcisaac_oe/3204.csv.gz,strain_id:SMY2076 ; date:20160321,242,7
3196,chasem,chasem,6483,YOR344C,TYE7,mcisaac_oe,overexpression,unverified,True,none,2024-07-01,2024-07-01T13:45:18.780679-05:00,undefined,SMY2232,1,undefined,zev,P,15.0,https://yeastregulatorydb-htcf-data.s3.amazonaws.com/media/expression/mcisaac_oe/3196.csv.gz,strain_id:SMY2232 ; date:20161006,241,7
3188,chasem,chasem,6473,YOR337W,TEA1,mcisaac_oe,overexpression,unverified,True,none,2024-07-01,2024-07-01T13:45:13.049292-05:00,undefined,SMY2124,1,undefined,zev,P,15.0,https://yeastregulatorydb-htcf-data.s3.amazonaws.com/media/expression/mcisaac_oe/3188.csv.gz,strain_id:SMY2124 ; date:20160504,1375,7
3180,chasem,chasem,6425,YOR295W,UAF30,mcisaac_oe,overexpression,unverified,True,none,2024-07-01,2024-07-01T13:45:06.793524-05:00,undefined,SMY2233,1,undefined,zev,P,15.0,https://yeastregulatorydb-htcf-data.s3.amazonaws.com/media/expression/mcisaac_oe/3180.csv.gz,strain_id:SMY2233 ; date:20161006,1371,7
3172,chasem,chasem,6419,YOR290C,SNF2,mcisaac_oe,overexpression,unverified,True,none,2024-07-01,2024-07-01T13:44:59.862684-05:00,undefined,SMY2216,1,undefined,zev,P,15.0,https://yeastregulatorydb-htcf-data.s3.amazonaws.com/media/expression/mcisaac_oe/3172.csv.gz,strain_id:SMY2216 ; date:20161101,238,7
3164,chasem,chasem,6354,YOR230W,WTM1,mcisaac_oe,overexpression,unverified,True,none,2024-07-01,2024-07-01T13:44:53.320746-05:00,undefined,SMY2238,1,undefined,zev,P,15.0,https://yeastregulatorydb-htcf-data.s3.amazonaws.com/media/expression/mcisaac_oe/3164.csv.gz,strain_id:SMY2238 ; date:20161117,237,7
3156,chasem,chasem,6353,YOR229W,WTM2,mcisaac_oe,overexpression,unverified,True,none,2024-07-01,2024-07-01T13:44:47.279462-05:00,undefined,SMY2239,1,undefined,zev,P,15.0,https://yeastregulatorydb-htcf-data.s3.amazonaws.com/media/expression/mcisaac_oe/3156.csv.gz,strain_id:SMY2239 ; date:20161117,236,7
3148,chasem,chasem,6288,YOR172W,YRM1,mcisaac_oe,overexpression,unverified,True,none,2024-07-01,2024-07-01T13:44:40.956748-05:00,undefined,SMY2244,1,undefined,zev,P,15.0,https://yeastregulatorydb-htcf-data.s3.amazonaws.com/media/expression/mcisaac_oe/3148.csv.gz,strain_id:SMY2244 ; date:20161117,1352,7
3141,chasem,chasem,6278,YOR162C,YRR1,mcisaac_oe,overexpression,unverified,True,none,2024-07-01,2024-07-01T13:44:35.865533-05:00,undefined,SMY2132,1,undefined,zev,P,15.0,https://yeastregulatorydb-htcf-data.s3.amazonaws.com/media/expression/mcisaac_oe/3141.csv.gz,strain_id:SMY2132 ; date:20160421,233,7
3133,chasem,chasem,6250,YOR140W,SFL1,mcisaac_oe,overexpression,unverified,True,none,2024-07-01,2024-07-01T13:44:29.860259-05:00,undefined,SMY2112,1,undefined,zev,P,15.0,https://yeastregulatorydb-htcf-data.s3.amazonaws.com/media/expression/mcisaac_oe/3133.csv.gz,strain_id:SMY2112 ; date:20160421,232,7
3125,chasem,chasem,6232,YOR123C,LEO1,mcisaac_oe,overexpression,unverified,True,none,2024-07-01,2024-07-01T13:44:23.897419-05:00,undefined,SMY2197,1,undefined,zev,P,15.0,https://yeastregulatorydb-htcf-data.s3.amazonaws.com/media/expression/mcisaac_oe/3125.csv.gz,strain_id:SMY2197 ; date:20161006,1344,7
3117,chasem,chasem,6222,YOR113W,AZF1,mcisaac_oe,overexpression,unverified,True,none,2024-07-01,2024-07-01T13:44:17.771303-05:00,undefined,SMY2057,1,undefined,zev,P,15.0,https://yeastregulatorydb-htcf-data.s3.amazonaws.com/media/expression/mcisaac_oe/3117.csv.gz,strain_id:SMY2057 ; date:20160303,231,7
3109,chasem,chasem,6191,YOR083W,WHI5,mcisaac_oe,overexpression,unverified,True,none,2024-07-01,2024-07-01T13:44:11.715814-05:00,undefined,SMY2237,1,undefined,zev,P,15.0,https://yeastregulatorydb-htcf-data.s3.amazonaws.com/media/expression/mcisaac_oe/3109.csv.gz,strain_id:SMY2237 ; date:20161103,1506,7
3101,chasem,chasem,6139,YOR038C,HIR2,mcisaac_oe,overexpression,unverified,True,none,2024-07-01,2024-07-01T13:44:05.570237-05:00,undefined,SMY2154,1,undefined,zev,P,15.0,https://yeastregulatorydb-htcf-data.s3.amazonaws.com/media/expression/mcisaac_oe/3101.csv.gz,strain_id:SMY2154 ; date:20160524,230,7
3093,chasem,chasem,6131,YOR032C,HMS1,mcisaac_oe,overexpression,unverified,True,none,2024-07-01,2024-07-01T13:43:58.929051-05:00,undefined,SMY2195,1,undefined,zev,P,15.0,https://yeastregulatorydb-htcf-data.s3.amazonaws.com/media/expression/mcisaac_oe/3093.csv.gz,strain_id:SMY2195 ; date:20160801,229,7
3085,chasem,chasem,6128,YOR028C,CIN5,mcisaac_oe,overexpression,unverified,True,none,2024-07-01,2024-07-01T13:43:52.239485-05:00,undefined,SMY2062,1,undefined,zev,P,15.0,https://yeastregulatorydb-htcf-data.s3.amazonaws.com/media/expression/mcisaac_oe/3085.csv.gz,strain_id:SMY2062 ; date:20160303,228,7
3077,chasem,chasem,6091,YOL004W,SIN3,mcisaac_oe,overexpression,unverified,True,none,2024-07-01,2024-07-01T13:43:46.113116-05:00,undefined,SMY2214,1,undefined,zev,P,15.0,https://yeastregulatorydb-htcf-data.s3.amazonaws.com/media/expression/mcisaac_oe/3077.csv.gz,strain_id:SMY2214 ; date:20161101,226,7
3069,chasem,chasem,6035,YOL051W,GAL11,mcisaac_oe,overexpression,unverified,True,none,2024-07-01,2024-07-01T13:43:39.822660-05:00,undefined,SMY2147,1,undefined,zev,P,15.0,https://yeastregulatorydb-htcf-data.s3.amazonaws.com/media/expression/mcisaac_oe/3069.csv.gz,strain_id:SMY2147 ; date:20160524,224,7
3061,chasem,chasem,6015,YOL067C,RTG1,mcisaac_oe,overexpression,unverified,True,none,2024-07-01,2024-07-01T13:43:33.411216-05:00,undefined,SMY2110,1,undefined,zev,P,15.0,https://yeastregulatorydb-htcf-data.s3.amazonaws.com/media/expression/mcisaac_oe/3061.csv.gz,strain_id:SMY2110 ; date:20161103,223,7
3054,chasem,chasem,5966,YOL108C,INO4,mcisaac_oe,overexpression,unverified,True,none,2024-07-01,2024-07-01T13:43:28.304208-05:00,undefined,SMY141,1,undefined,gev,P,15.0,https://yeastregulatorydb-htcf-data.s3.amazonaws.com/media/expression/mcisaac_oe/3054.csv.gz,strain_id:SMY141 ; date:20151006,220,7
3046,chasem,chasem,5928,YOL145C,CTR9,mcisaac_oe,overexpression,unverified,True,none,2024-07-01,2024-07-01T13:43:22.216981-05:00,undefined,SMY2185,1,undefined,zev,P,15.0,https://yeastregulatorydb-htcf-data.s3.amazonaws.com/media/expression/mcisaac_oe/3046.csv.gz,strain_id:SMY2185 ; date:20160628,1290,7
3038,chasem,chasem,5925,YOL148C,SPT20,mcisaac_oe,overexpression,unverified,True,none,2024-07-01,2024-07-01T13:43:16.827460-05:00,undefined,SMY2264,1,undefined,zev,P,15.0,https://yeastregulatorydb-htcf-data.s3.amazonaws.com/media/expression/mcisaac_oe/3038.csv.gz,strain_id:SMY2264 ; date:20161117,218,7
3030,chasem,chasem,5830,YNR010W,CSE2,mcisaac_oe,overexpression,unverified,True,none,2024-07-01,2024-07-01T13:43:11.186639-05:00,undefined,SMY2143,1,undefined,zev,P,15.0,https://yeastregulatorydb-htcf-data.s3.amazonaws.com/media/expression/mcisaac_oe/3030.csv.gz,strain_id:SMY2143 ; date:20160504,215,7
3022,chasem,chasem,5829,YNR009W,NRM1,mcisaac_oe,overexpression,unverified,True,none,2024-07-01,2024-07-01T13:43:05.141506-05:00,undefined,SMY2203,1,undefined,zev,P,15.0,https://yeastregulatorydb-htcf-data.s3.amazonaws.com/media/expression/mcisaac_oe/3022.csv.gz,strain_id:SMY2203 ; date:20160801,1278,7
3014,chasem,chasem,5793,YNL023C,FAP1,mcisaac_oe,overexpression,unverified,True,none,2024-07-01,2024-07-01T13:42:59.182599-05:00,undefined,SMY2187,1,undefined,zev,P,15.0,https://yeastregulatorydb-htcf-data.s3.amazonaws.com/media/expression/mcisaac_oe/3014.csv.gz,strain_id:SMY2187 ; date:20160628,1268,7
3006,chasem,chasem,5786,YNL027W,CRZ1,mcisaac_oe,overexpression,unverified,True,none,2024-07-01,2024-07-01T13:42:53.095160-05:00,undefined,SMY104,1,undefined,gev,P,15.0,https://yeastregulatorydb-htcf-data.s3.amazonaws.com/media/expression/mcisaac_oe/3006.csv.gz,strain_id:SMY104 ; date:20150101,213,7
2998,chasem,chasem,5736,YNL068C,FKH2,mcisaac_oe,overexpression,unverified,True,none,2024-07-01,2024-07-01T13:42:47.097259-05:00,undefined,SMY128,1,undefined,gev,P,15.0,https://yeastregulatorydb-htcf-data.s3.amazonaws.com/media/expression/mcisaac_oe/2998.csv.gz,strain_id:SMY128 ; date:20150101,212,7
2990,chasem,chasem,5698,YNL103W,MET4,mcisaac_oe,overexpression,unverified,True,none,2024-07-01,2024-07-01T13:42:41.261071-05:00,undefined,SMY44,1,undefined,gev,M,15.0,https://yeastregulatorydb-htcf-data.s3.amazonaws.com/media/expression/mcisaac_oe/2990.csv.gz,strain_id:SMY44 ; date:20150101,1505,7
2975,chasem,chasem,5627,YNL167C,SKO1,mcisaac_oe,overexpression,unverified,True,none,2024-07-01,2024-07-01T13:42:26.352042-05:00,undefined,SMY2115,1,undefined,zev,P,15.0,https://yeastregulatorydb-htcf-data.s3.amazonaws.com/media/expression/mcisaac_oe/2975.csv.gz,strain_id:SMY2115 ; date:20160421,209,7
2967,chasem,chasem,5595,YNL199C,GCR2,mcisaac_oe,overexpression,unverified,True,none,2024-07-01,2024-07-01T13:42:20.305075-05:00,undefined,SMY2171,1,undefined,zev,P,15.0,https://yeastregulatorydb-htcf-data.s3.amazonaws.com/media/expression/mcisaac_oe/2967.csv.gz,strain_id:SMY2171 ; date:20160606,208,7
2959,chasem,chasem,5564,YNL229C,URE2,mcisaac_oe,overexpression,unverified,True,none,2024-07-01,2024-07-01T13:42:14.458739-05:00,undefined,SMY2235,1,undefined,zev,P,15.0,https://yeastregulatorydb-htcf-data.s3.amazonaws.com/media/expression/mcisaac_oe/2959.csv.gz,strain_id:SMY2235 ; date:20161006,1227,7
2951,chasem,chasem,5557,YNL236W,SIN4,mcisaac_oe,overexpression,unverified,True,none,2024-07-01,2024-07-01T13:42:08.301008-05:00,undefined,SMY2165,1,undefined,zev,P,15.0,https://yeastregulatorydb-htcf-data.s3.amazonaws.com/media/expression/mcisaac_oe/2951.csv.gz,strain_id:SMY2165 ; date:20160606,205,7
2943,chasem,chasem,5536,YNL257C,SIP3,mcisaac_oe,overexpression,unverified,True,none,2024-07-01,2024-07-01T13:42:02.550516-05:00,undefined,SMY2215,1,undefined,zev,P,15.0,https://yeastregulatorydb-htcf-data.s3.amazonaws.com/media/expression/mcisaac_oe/2943.csv.gz,strain_id:SMY2215 ; date:20161101,204,7
2935,chasem,chasem,5477,YNL309W,STB1,mcisaac_oe,overexpression,unverified,True,none,2024-07-01,2024-07-01T13:41:56.511165-05:00,undefined,SMY2224,1,undefined,zev,P,15.0,https://yeastregulatorydb-htcf-data.s3.amazonaws.com/media/expression/mcisaac_oe/2935.csv.gz,strain_id:SMY2224 ; date:20161101,203,7
2928,chasem,chasem,5472,YNL314W,DAL82,mcisaac_oe,overexpression,unverified,True,none,2024-07-01,2024-07-01T13:41:51.213097-05:00,undefined,SMY124,1,undefined,gev,P,15.0,https://yeastregulatorydb-htcf-data.s3.amazonaws.com/media/expression/mcisaac_oe/2928.csv.gz,strain_id:SMY124 ; date:20150101,202,7
2921,chasem,chasem,5456,YNL330C,RPD3,mcisaac_oe,overexpression,unverified,True,none,2024-07-01,2024-07-01T13:41:46.195704-05:00,undefined,SMY2163,1,undefined,zev,P,15.0,https://yeastregulatorydb-htcf-data.s3.amazonaws.com/media/expression/mcisaac_oe/2921.csv.gz,strain_id:SMY2163 ; date:20160524,201,7
2913,chasem,chasem,5389,YMR280C,CAT8,mcisaac_oe,overexpression,unverified,True,none,2024-07-01,2024-07-01T13:41:40.263847-05:00,undefined,SMY2060,1,undefined,zev,P,15.0,https://yeastregulatorydb-htcf-data.s3.amazonaws.com/media/expression/mcisaac_oe/2913.csv.gz,strain_id:SMY2060 ; date:20160921,200,7
2905,chasem,chasem,5328,YMR228W,MTF1,mcisaac_oe,overexpression,unverified,True,none,2024-07-01,2024-07-01T13:41:34.180472-05:00,undefined,SMY2202,1,undefined,zev,P,15.0,https://yeastregulatorydb-htcf-data.s3.amazonaws.com/media/expression/mcisaac_oe/2905.csv.gz,strain_id:SMY2202 ; date:20160801,1504,7
2897,chasem,chasem,5275,YMR182C,RGM1,mcisaac_oe,overexpression,unverified,True,none,2024-07-01,2024-07-01T13:41:28.267192-05:00,undefined,SMY2208,1,undefined,zev,P,15.0,https://yeastregulatorydb-htcf-data.s3.amazonaws.com/media/expression/mcisaac_oe/2897.csv.gz,strain_id:SMY2208 ; date:20160823,198,7
2889,chasem,chasem,5262,YMR172W,HOT1,mcisaac_oe,overexpression,unverified,True,none,2024-07-01,2024-07-01T13:41:22.516483-05:00,undefined,SMY2156,1,undefined,zev,P,15.0,https://yeastregulatorydb-htcf-data.s3.amazonaws.com/media/expression/mcisaac_oe/2889.csv.gz,strain_id:SMY2156 ; date:20160421,1163,7
2881,chasem,chasem,5254,YMR164C,MSS11,mcisaac_oe,overexpression,unverified,True,none,2024-07-01,2024-07-01T13:41:16.702519-05:00,undefined,SMY2092,1,undefined,zev,P,15.0,https://yeastregulatorydb-htcf-data.s3.amazonaws.com/media/expression/mcisaac_oe/2881.csv.gz,strain_id:SMY2092 ; date:20160921,197,7
2873,chasem,chasem,5220,YMR136W,GAT2,mcisaac_oe,overexpression,unverified,True,none,2024-07-01,2024-07-01T13:41:10.452521-05:00,undefined,SMY2189,1,undefined,zev,P,15.0,https://yeastregulatorydb-htcf-data.s3.amazonaws.com/media/expression/mcisaac_oe/2873.csv.gz,strain_id:SMY2189 ; date:20160801,1153,7
